kanji	JLPT	grade	example1	other examples
化	4	3	文化|ぶんか |culture|4	['化学|かがく|chemistry|3', '化粧|けしょう|make-up (cosmetic)|3']
美	4	3	美術館|びじゅつかん |art gallery|4	['美人|びじん|beautiful person (woman)|3', '美容|びよう|beauty of figure or form|2']
研	4	3	研究|けんきゅう |research|4	['研修|けんしゅう|training|2', '研ぐ|とぐ|to sharpen; to grind; to scour; to hone; to polish; to wash (rice)|1']
島	4	3	島|しま |island|4	['半島|はんとう|peninsula|2']
進	4	3	進む|すすむ |to make progress|4	['進める|すすめる|to advance; to promote; to hasten|3', '進学|しんがく|going on to a higher level school; |3']
具	4	3	道具|どうぐ |tool; means|4	['家具|かぐ|furniture|3', '具体|ぐたい|concrete; tangible; material|3']
都	4	3	都|と |metropolitan|4	['都市|とし|town; city; municipal; urban|3', '都会|とかい|city|3']
運	4	3	運ぶ|はこぶ |to transport|4	['運動|うんどう・する|motion; exercise; to exercise|3', '運転|うんてん・する|operation; motion; driving; to drive|3']
拾	4	3	拾う|ひろう |to pick up; to gather|4	[]
落	4	3	落す|おとす |to drop|4	['落第|らくだい|failure; dropping out of a class|2', '落し物|おとしもの|lost property|2']
投	4	3	投げる|なげる |to throw or cast away|4	['投書|とうしょ|letter to the editor; letter from a reader; contribution|2', '投資|とうし|investment|1']
礼	4	3	お礼|おれい |expression of gratitude|4	['礼儀|れいぎ|manners; courtesy; etiquette|3', '無礼|ぶれい|impolite; rude|1']
決	4	3	決める|きめる |to decide|4	['決して|けっして |never|4', '解決|かいけつ|settlement; solution; resolution|3']
守	4	3	留守|るす |absence|4	['留守番|るすばん|care-taking; caretaker; house-watching|2', '保守|ほしゅ|conservative; maintaining|1']
君	4	3	君|くん |suffix for familiar young male|4	['諸君|しょくん|Gentlemen!; Ladies!|1', '君主|くんしゅ|ruler; monarch|1']
昔	4	3	昔|むかし |old times; old days; long ago; formerly|4	[]
命	4	3	一生懸命|いっしょうけんめい |with utmost effort|4	['命令|めいれい|order; command; decree; directive; (software) instruction|3', '命じる|めいじる|to order; to command; to appoint|3']
受	4	3	受ける|うける |to take a lesson or test|4	['受け取る|うけとる|to receive; to get; to accept; to take|3', '引受る|ひきうける|to undertake; to take up; to take over|2']
由	4	3	理由|りゆう |reason|4	['不自由|ふじゆう|discomfort; disability; inconvenience; destitution|3', '経由|けいゆ|go by the way; via|3']
深	4	3	深い|ふかい |deep|4	['深まる|ふかまる|to deepen; to heighten; to intensify|2', '深夜|しんや|late at night|2']
勝	4	3	勝つ|かつ |to win|4	['勝ち|かち|win; victory|3', '勝負|しょうぶ|victory or defeat; match; contest; game; bout|2']
申	4	3	申す|もうす |(humble) to be called; to say|4	['申し訳|もうしわけ|apology; excuse|3', '申し込む|もうしこむ|to apply for; to make an application|3']
神	4	3	神社|じんじゃ |Shinto shrine|4	['神|かみ|god|3', '神経|しんけい|nerve; sensitivity|3']
指	4	3	指|ゆび |finger|4	['指導|しどう|leadership; guidance; coaching|3', '指す|さす|to point; to put up umbrella; to play|3']
等	4	3	高等学校|こうとうがっこう |high school|4	['等しい|ひとしい|equal|3', '平等|びょうどう|equality (a); impartiality; evenness|3']
係	4	3	関係|かんけい |relationship|4	['係わる|かかわる|to concern oneself in; to have to do with; to affect; to influence; to stick to (opinions)|2', '係り|かかり|official; duty; person in charge|1']
悲	4	3	悲しい|かなしい |sad|4	['悲しむ|かなしむ|to be sad; to mourn for; to regret|3', '悲観|ひかん|pessimism; disappointment|1']
世	4	3	世界|せかい |the world|4	['世間|せけん|world; society|3', '世紀|せいき|century; era|3']
打	4	3	打つ|うつ |to hit|4	['打ち消す|うちけす|to deny; to negate; to contradict|2', '打合せ|うちあわせ|business meeting; previous arrangement; appointment|2']
表	4	3	表|おもて |the front|4	['表|ひょう|table (e.g. Tab 1); chart; list|3', '発表|はっぴょう|announcement; publication|3']
湖	4	3	湖|みずうみ |lake|4	[]
息	4	3	息子|むすこ |(humble) son|4	['溜息|ためいき|a sigh|2', '休息|きゅうそく|rest; relief; relaxation|2']
坂	4	3	坂|さか |slope; hill|4	[]
倍	4	3	倍|ばい |double|4	[]
主	4	3	御主人|ごしゅじん |(honorable) your husband|4	['主張|しゅちょう|claim; request; insistence; assertion|3', '主義|しゅぎ|doctrine; rule; principle|3']
苦	4	3	苦い|にがい |bitter|4	['苦痛|くつう|pain; agony|3', '苦労|くろう|troubles; hardships|3']
急	4	3	特急|とっきゅう |limited express train (faster than an express train)|4	['急行|きゅうこう |speedy; express|4', '急|きゅう |urgent; steep|4']
代	4	3	代わり|かわり |substitute; alternate|4	['年代|ねんだい|age; era; period; date|3', '代金|だいきん|price; payment; cost; charge|3']
祭	4	3	お祭り|おまつり |festival|4	['祭る|まつる|to deify; to enshrine|2', '祭日|さいじつ|national holiday; festival day|2']
集	4	3	集める|あつめる |to collect something|4	['集まり|あつまり|gathering; meeting; assembly; collection|3', '集中|しゅうちゅう|concentration; focusing the mind|3']
界	4	3	世界|せかい |the world|4	['境界|きょうかい|boundary|2']
植	4	3	植える|うえる |to plant; to grow|4	['田植え|たうえ|rice planting|2', '植木|うえき|garden shrubs; trees; potted plant|2']
岸	4	3	海岸|かいがん |coast|4	['沿岸|えんがん|coast; shore|1']
客	4	3	客|きゃく |guest; customer|4	['乗客|じょうきゃく|passenger|3', '客席|きゃくせき|guest seating|2']
員	4	3	店員|てんいん |shop assistant|4	['全員|ぜんいん|all members (unanimity); all hands; the whole crew|3', '会員|かいいん|member; the membership|3']
送	4	3	送る|おくる |to send|4	['放送/放送する|ほうそう・する|broadcast; \u3000broadcasting; to broadcast|3', '送別|そうべつ|farewell; send-off|2']
定	4	3	予定|よてい |arrangement|4	['否定|ひてい|negation; denial; repudiation|3', '勘定|かんじょう|calculation; counting; consideration|3']
負	4	3	負ける|まける |to lose|4	['勝負|しょうぶ|victory or defeat; match; contest; game; bout|2', '背負う|せおう|to be burdened with; to carry on back or shoulder|2']
育	4	3	育てる|そだてる |to rear; to bring up|4	['育つ|そだつ|to raise (child); to be brought up; to grow (up)|3', '体育|たいいく|physical education; gymnastics; athletics|3']
血	4	3	血|ち |blood|4	['血圧|けつあつ|blood pressure|2', '血液|けつえき|blood|2']
調	4	3	調べる|しらべる |to investigate|4	['調査|ちょうさ|investigation; examination; inquiry; survey|3', '強調|きょうちょう|emphasis; stress; stressed point|3']
予	4	3	天気予報|てんきよほう |weather forecast|4	['予定|よてい |arrangement|4', '予習|よしゅう |preparation for a lesson|4']
対	4	3	反対|はんたい |opposition|4	['絶対|ぜったい|absolute; unconditional; absoluteness|3', '対する|たいする|to face; to confront; to oppose|3']
発	4	3	発音|はつおん |pronunciation|4	['発表|はっぴょう|announcement; publication|3', '発展|はってん|development; growth|3']
品	4	3	食料品|しょくりょうひん |groceries|4	['手品|てじな|sleight of hand; conjuring trick; magic; juggling|3', '製品|せいひん|manufactured goods; finished goods|3']
究	4	3	研究|けんきゅう |research|4	['究極|きゅうきょく|ultimate; final; eventual|1']
約	4	4	約束|やくそく |promise|4	['節約|せつやく|economising; saving|3', '約|やく|approximately; about; some|3']
固	4	4	 固い|かたい |hard|4	['固い|かたい|stubborn; firm (not viscous or easily moved)|2', '固める|かためる|to harden; to freeze; to fortify|1']
戦	4	4	戦争|せんそう |war|4	['戦う|たたかう|to fight; to battle; to combat|3', '戦い|たたかい|battle; fight; struggle; conflict|3']
包	4	4	包む|つつむ |to wrap|4	['小包|こづつみ|parcel; package|3', '包帯|ほうたい|bandage; dressing|2']
席	4	4	席|せき |seat|4	['欠席|けっせき|absence; non-attendance|3', '座席|ざせき|seat|3']
連	4	4	連絡|れんらく |contact|4	['連続|れんぞく|serial; consecutive; continuity; continuing|3', '連想|れんそう|association (of ideas); suggestion|3']
灯	4	4	電灯|でんとう |electric light|4	['灯油|とうゆ|lamp oil; kerosene|2', '灯台|とうだい|lighthouse|2']
史	4	4	歴史|れきし |history|4	[]
特	4	4	特急|とっきゅう |limited express train (faster than an express train)|4	['特に|とくに |particularly; especially|4', '独特|どくとく|peculiarity; uniqueness; characteristic|3']
議	4	4	会議室|かいぎしつ |meeting room|4	['不思議|ふしぎ|mystery; curiosity|3', '議論|ぎろん|argument; discussion; dispute|3']
敗	4	4	失敗|しっぱい |failure; mistake|4	['敗戦|はいせん|defeat; losing a war|1', '腐敗|ふはい|decay; depravity|1']
焼	4	4	焼ける|やける |to burn; to be roasted|4	['燃焼|ねんしょう|burning; combustion|1', '夕焼け|ゆうやけ|sunset|1']
単	4	4	簡単|かんたん |simple|4	['単語|たんご|word; vocabulary; (usually) single-character word|3', '単に|たんに|simply; merely; only; solely|3']
民	4	4	市民|しみん |citizen|4	['住民|じゅうみん|citizens; inhabitants; residents; population|3', '国民|こくみん|national; people; citizen|3']
別	4	4	特別|とくべつ |special|4	['別|べつ |different|4', '別れ|わかれ|parting; separation; farewell|3']
説	4	4	説明|せつめい |explanation|4	['説|せつ|theory|3', '演説|えんぜつ|speech; address|3']
節	4	4	季節|きせつ |season|4	['節|ふし|tune; tone; knot; knob; point|3', '調節|ちょうせつ|regulation; adjustment; control|2']
以	4	4	以外|いがい |with the exception of|4	['以内|いない |within|4', '以上|いじょう |more than; this is all|4']
競	4	4	競争|きょうそう |competition|4	['競馬|けいば|horse racing|2']
法	4	4	法律|ほうりつ |law|4	['法|ほう|Act (law: the X Act)|3', '方法|ほうほう|method; manner; way; means; technique|3']
産	4	4	生産|せいさんする |to produce|4	['産業|さんぎょう |industry|4', '生産|せいさん|production; manufacture|3']
祝	4	4	お祝い|おいわい |congratulation|4	['祝い|いわい|celebration; festival|3', '祝日|しゅくじつ|national holiday|2']
束	4	4	約束|やくそく |promise|4	['束縛|そくばく|restraint; shackles; restriction; confinement; binding|1', '束の間|つかのま|moment; brief time; brief; transient|1']
続	4	4	続ける|つづける |to continue|4	['続き|つづき|sequel; continuation|3', '相続|そうぞく|succession; inheritance|3']
必	4	4	必要|ひつよう |necessary|4	['必死|ひっし|inevitable death; desperation; frantic; inevitable result|3', '必ずしも|かならずしも|(not) always; (not) necessarily; (not) all; (not) entirely|3']
泣	4	4	泣く|なく |to weep|4	[]
験	4	4	試験|しけん |examination|4	['経験|けいけん・する|experience; to experience|3', '受験|じゅけん|taking an examination|2']
輪	4	4	指輪|ゆびわ |a ring|4	['車輪|しゃりん|(car) wheel|2', '年輪|ねんりん|annual tree ring|1']
治	4	4	治る|なおる |to be cured; to heal|4	['治す|なおす|to cure; to heal; to fix; to correct; to repair|2', '治める|おさめる|to govern; to manage; to subdue|2']
折	4	4	折る|おる |to break or to fold|4	['骨折|こっせつ|bone fracture|3', '折角|せっかく|with trouble; at great pains; long-awaited|2']
伝	4	4	手伝う|てつだう |to assist|4	['手伝い|てつだい|help; helper; assistant|3', '伝統|でんとう|tradition; convention|3']
参	4	4	参る|まいる |(humble) to go; to come|4	['参加|さんか|participation|3', 'お参り|おまいり|worship; shrine visit|2']
卒	4	4	卒業|そつぎょう |graduation|4	['何卒|どうぞ|please; kindly; by all means|1', '何卒|なにとぞ|please|1']
付	4	4	付く|つく |to be attached|4	['受付|うけつけ |receipt|4', '付ける|つける|to attach; to join; to add; to append|3']
失	4	4	失敗|しっぱい |failure; mistake|4	['失望|しつぼう|disappointment; despair|3', '失業|しつぎょう|unemployment|3']
億	4	4	億|おく |one hundred million|4	[]
課	4	4	課長|かちょう |section manager|4	['日課|にっか|daily lesson; daily work; daily routine|2', '課程|かてい|course; curriculum|2']
不	4	4	不便|ふべん |inconvenience|4	['不可|ふか|wrong; bad; improper; unjustifiable; inadvisable|3', '不安|ふあん|anxiety; uneasiness; insecurity; suspense|3']
試	4	4	試験|しけん |examination|4	['試す|ためす|to attempt; to test|3', '試し|ためし|trial; test|3']
念	4	4	残念|ざんねん |disappointment|4	['観念|かんねん|idea; notion; conception; sense (e.g. of duty)|2', '念|ねん|sense; idea; thought; feeling; desire; concern; attention; care|1']
例	4	4	例えば|たとえば |for example|4	['例える|たとえる|to compare; to liken; to speak figuratively; to illustrate; to use a simile|2', '例外|れいがい|exception|2']
察	4	4	警察|けいさつ |police|4	['診察|しんさつ|medical examination|3', '視察|しさつ|inspection; observation|1']
変	4	4	変|へん |strange|4	['変わる|かわる |to change|4', '大変|たいへん|awful; dreadful; terrible; very|3']
景	4	4	景色|けしき |scene; landscape|4	['景気|けいき|business climate; condition; state|3', '光景|こうけい|scene; spectacle|3']
浅	4	4	浅い|あさい |shallow; superficial|4	[]
喜	4	4	喜ぶ|よろこぶ |to be delighted|4	['喜劇|きげき|comedy; funny show|1']
残	4	4	残る|のこる |to remain|4	['残り|のこり|remnant; residue; remaining; left-over|3', '残す|のこす|to leave (behind; over); to bequeath; to save; to reserve|3']
最	4	4	最初|さいしょ |beginning; first|4	['最近|さいきん |latest; nowadays|4', '最も|もっとも|most; extremely|3']
典	4	4	辞典|じてん |dictionary|4	['古典|こてん|old book; classics; classic|2', '百科事典|ひゃっかじてん|encyclopedia|1']
歴	4	4	歴史|れきし |history|4	['学歴|がくれき|academic background|1', '経歴|けいれき|personal history; career|1']
争	4	4	戦争|せんそう |war|4	['論争|ろんそう|controversy; dispute|3', '争う|あらそう|to dispute; to argue; to be at variance; to compete|2']
選	4	4	選ぶ|えらぶ |to choose|4	['選択|せんたく|selection; choice|3', '当選|とうせん|being elected; winning the prize|1']
笑	4	4	笑う|わらう |to laugh; to smile|4	['微笑む|ほほえむ|to smile|3', '笑顔|えがお|smiling face|3']
周	4	4	周り|まわり |surroundings|4	['円周|えんしゅう|circumference|2', '周辺|しゅうへん|circumference; outskirts; environs; (computer) peripheral|2']
季	4	4	季節|きせつ |season|4	['季刊|きかん|quarterly (e.g. magazine)|1']
険	4	5	危険|きけん |danger|4	['険しい|けわしい|inaccessible place; sharp eyes|2', '保険|ほけん|insurance; guarantee|1']
夢	4	5	夢|ゆめ |dream|4	[]
謝	4	5	謝る|あやまる |to apologize|4	['謝絶|しゃぜつ|refusal|1', '月謝|げっしゃ|monthly tuition fee|1']
過	4	5	過ぎる|すぎる |to exceed|4	['通り過ぎる|とおりすぎる|to pass; to pass through|3', '過ごす|すごす|to pass; to spend; to go through; to tide over|3']
適	4	5	適当|てきとう |suitability|4	['適用|てきよう|applying|3', '適度|てきど|moderate|3']
報	4	5	電報|でんぽう |telegram|4	['予報|よほう|forecast; prediction|3', '報告|ほうこく|report; information|3']
貿	4	5	貿易|ぼうえき |trade|4	[]
講	4	5	講堂|こうどう |auditorium|4	['講演|こうえん|lecture; address|3', '休講|きゅうこう|lecture cancelled|2']
則	4	5	規則|きそく |regulations|4	['法則|ほうそく|law; rule|2', '原則|げんそく|principle; general rule|1']
非	4	5	非常に|ひじょうに |extremely|4	['非常|ひじょう|emergency; extraordinary; unusual|3', '是非とも|ぜひとも|by all means (with sense of not taking no for an answer)|1']
復	4	5	復習|ふくしゅう |revision|4	['往復|おうふく|(col) round trip; coming and going; return ticket|2', '復活|ふっかつ|revival (e.g. musical); restoration|1']
妻	4	5	妻|つま |my wife|4	[]
比	4	5	比べる|くらべる |to compare|4	['比較的|ひかくてき|comparatively; relatively|2', '対比|たいひ|contrast; comparison|1']
規	4	5	規則|きそく |regulations|4	['規準|きじゅん|standard; basis; criteria; norm|2', '規律|きりつ|order; rules; law|2']
慣	4	5	慣れる|なれる |to grow accustomed to|4	['見慣れる|みなれる|to become used to seeing; to be familiar with|2', '慣らす|ならす|to accustom|1']
常	4	5	非常に|ひじょうに |extremely|4	['日常|にちじょう|ordinary; regular; everyday; usual|3', '非常|ひじょう|emergency; extraordinary; unusual|3']
枝	4	5	枝|えだ |branch; twig|4	[]
経	4	5	経済|けいざい |finance; economy|4	['神経|しんけい|nerve; sensitivity|3', '経由|けいゆ|go by the way; via|3']
因	4	5	原因|げんいん |cause; source|4	['要因|よういん|primary factor; main cause|1']
移	4	5	移る|うつる |to move house or transfer|4	['移す|うつす|to remove; to transfer; to infect|3', '移転|いてん|moving; transfer; demise|2']
寄	4	5	寄る|よる |to visit|4	['寄付|きふ|contribution; donation|3', '近寄る|ちかよる|to approach; to draw near|2']
綿	4	5	木綿|もめん |cotton|4	['綿|わた|cotton; padding|3', '木綿|きわた|cotton|1']
似	4	5	似る|にる |to be similar|4	['真似|まね|mimicry; imitation; behavior; pretense|3', '真似る|まねる|to mimic; to imitate|2']
退	4	5	退院|たいいんする |to leave hospital|4	['引退|いんたい|retire|3', '退く|どく|to retreat; to recede; to withdraw|2']
際	4	5	国際|こくさい |international|4	['際|さい|on the occasion of; circumstances|3', '交際|こうさい|company; friendship; association; society; acquaintance|3']
技	4	5	技術|ぎじゅつ |art; technology; skill|4	['技師|ぎし|engineer; technician|3', '演技|えんぎ|acting; performance|3']
護	4	5	看護師|かんごし |nurse|4	['弁護|べんご|defense; pleading; advocacy|1', '保護|ほご|care; protection; shelter; guardianship; favor; patronage|1']
政	4	5	政治|せいじ |politics; government|4	['政党|せいとう|(member of) political party|2', '政権|せいけん|administration; political power|1']
増	4	5	増える|ふえる |to increase|4	['増す|ます|to increase; to grow|3', '増減|ぞうげん|increase and decrease; fluctuation|2']
久	4	5	久しぶり|ひさしぶり |after a long time|4	['久しい|ひさしい|long; long-continued; old (story)|1', '久し振り|ひさしぶり|after a long time|1']
術	4	5	美術館|びじゅつかん |art gallery|4	['手術|しゅじゅつ|surgical operation|3', '芸術|げいじゅつ|(fine) art; the arts|3']
舎	4	5	田舎|いなか |countryside|4	[]
義	4	5	講義|こうぎ |lecture|4	['主義|しゅぎ|doctrine; rule; principle|3', '意義|いぎ|meaning; significance|2']
務	4	5	事務所|じむしょ |office|4	['務め|つとめ|service; duty; |3', '義務|ぎむ|duty; obligation; responsibility|3']
故	4	5	事故|じこ |accident|4	['故障|こしょう|break-down; failure; accident; out of order|3', '故郷|こきょう|home town; birthplace; old village; historic village|3']
性	4	5	男性|だんせい |male|4	['性|せい|sex; gender|3', '性格|せいかく|character; personality|3']
師	4	5	看護師|かんごし |nurse|4	['技師|ぎし|engineer; technician|3', '医師|いし|doctor; physician|3']
祖	4	5	祖母|そぼ |grandmother|4	['先祖|せんぞ|ancestor|2', '祖先|そせん|ancestor|2']
確	4	5	確か|たしか |definite|4	['確かめる|たしかめる|to ascertain; confirm|3', '明確|めいかく|clear up; clarify; define|3']
複	4	5	複雑|ふくざつ |complexity; complication|4	['複写|ふくしゃ|copy; duplicate|2', '複合|ふくごう|composite; complex|1']
興	4	5	興味|きょうみ |an interest|4	['復興|ふっこう|revival; renaissance; reconstruction|1', '興じる|きょうじる|to amuse oneself; to make merry|1']
団	4	5	布団|ふとん |Japanese bedding; futon|4	['集団|しゅうだん|group; mass|3', '団地|だんち|multi-unit apartments|2']
簡	4	6	簡単|かんたん |simple|4	['簡潔|かんけつ|brevity; conciseness; simplicity|1', '簡素|かんそ|simplicity; plain|1']
厳	4	6	厳しい|きびしい |strict|4	['厳か|おごそか|austere; majestic; dignified; stately; awful; impressive|1', '厳密|げんみつ|strict; close|1']
存	4	6	ご存じ|ごぞんじ |(respect form ) to know|4	['保存|ほぞん|preservation; conservation; storage; maintenance|3', '存じる|ぞんじる|(hum) to know|2']
訳	4	6	訳|わけ |meaning; reason|4	['申し訳|もうしわけ|apology; excuse|3', '訳|やく|translation; a version|3']
絹	4	6	絹|きぬ |silk|4	[]
盛	4	6	盛ん|さかん |popularity; prosperous|4	['盛る|もる|to serve (food; etc.); to fill up; (3) to prescribe|2', '全盛|ぜんせい|height of prosperity|1']
覧	4	6	展覧会|てんらんかい |exhibition|4	['回覧|かいらん|circulation|1', '観覧|かんらん|viewing|1']
捨	4	6	捨てる|すてる |to throw away|4	[]
律	4	6	法律|ほうりつ |law|4	['一律|いちりつ|evenness; uniformity; monotony; equality|1']
射	4	6	注射|ちゅうしゃ |injection|4	['陽射|ひざし|sunlight; rays of the sun|2', '射す|さす|to shine; to strike|2']
宅	4	6	お宅|おたく |(polite) your house|4	['帰宅|きたく|returning home|3', '住宅|じゅうたく|resident; housing|3']
片	4	6	片付ける|かたづける |to tidy up|4	['片寄る|かたよる|to be one-sided; to incline; to be partial|2', '片道|かたみち|one-way (trip)|2']
優	4	6	優しい|やさしい |kind|4	['優勝|ゆうしょう|overall victory; championship|3', '優秀|ゆうしゅう|superiority; excellence|3']
拝	4	6	拝見|はいけんする |(humble) to look at|4	['拝む|おがむ|to worship; to beg; to make a supplication|2', '拝啓|はいけい|Dear (so and so)|1']
亡	4	6	亡くなる|なくなる |to die|4	['亡くす|なくす|to lose someone; wife; child; etc|2', '逃亡|とうぼう|escape|1']
訪	4	6	訪ねる|たずねる |to visit|4	['訪れる|おとずれる|to visit|1']
割	4	6	割れる|われる |to break|4	['役割|やくわり|part; assigning (allotment of) parts; role; duties|3', '割る|わる|to divide; to cut; to break; to halve|3']
障	4	6	故障|こしょうする |to break|4	['故障|こしょう|break-down; failure; accident; out of order|3', '障子|しょうじ|paper sliding door|2']
届	4	6	届ける|とどける |to send; to deliver; to report|4	['届け|とどけ|report; notification; registration|1']
暮	4	6	暮れる|くれる |to get dark; to come to an end|4	['暮らす|くらす|to live; to get along|3', '暮らし|くらし|living; livelihood; subsistence; circumstances|3']
裏	4	6	裏|うら |reverse side|4	['裏口|うらぐち|backdoor; rear entrance|2', '裏返す|うらがえす|to turn inside out; to turn (something) over|2']
済	4	6	済む|すむ |to finish|4	['済ませる|すませる|to be finished|3', '返済|へんさい|repayment|1']
棒	4	6	泥棒|どろぼう |thief|4	['鉄棒|かなぼう|iron rod; crowbar; horizontal bar (gymnastics)|1']
探	4	6	探す|さがす |to look for|4	['探検|たんけん|exploration; expedition|1']
看	4	6	看護師|かんごし |nurse|4	['看病|かんびょう|nursing (a patient)|2', '看護|かんご|nursing; (army) nurse|1']
将	4	6	将来|しょうらい |future; prospects|4	[]
展	4	6	展覧会|てんらんかい |exhibition|4	['展開|てんかい|develop; expansion (opposite of compression)|2', '展望|てんぼう|view; outlook; prospect|1']
噌	4	EXTRA	味噌|みそ |miso; soybean paste|4	[]
噛	4	EXTRA	噛む|かむ |to bite; to chew|4	['噛み切る|かみきる|to bite off; to gnaw through|1']
贈	4	S	贈り物|おくりもの |gift|4	['寄贈|きそう|donation; presentation|1']
迎	4	S	迎える|むかえる |to go out to meet|4	['歓迎|かんげい|welcome; reception|3', '出迎え|でむかえ|meeting; reception|2']
珍	4	S	珍しい|めずらしい |rare|4	[]
壁	4	S	壁|かべ |wall|4	[]
壊	4	S	壊れる|こわれる |to be broken|4	['破壊|はかい|destruction|1', '崩壊|ほうかい|collapse; decay (physics); crumbling; breaking down; caving in|1']
泊	4	S	泊まる|とまる |to lodge at|4	['泊める|とめる|to give shelter to; to lodge|2', '泊|はく|counter for nights of a stay|1']
払	4	S	払う|はらう |to pay|4	['支払|しはらい|payment|3', '酔っ払い|よっぱらい|drunkard|2']
召	4	S	召し上がる|めしあがる |(polite) to eat|4	[]
塗	4	S	塗る|ぬる |to paint; to colour; to plaster|4	[]
趣	4	S	趣味|しゅみ |hobby|4	['趣旨|しゅし|object; meaning|1']
掛	4	S	掛ける|かける |to hang something|4	['通り掛かる|とおりかかる|to happen to pass by|2', '出掛ける|でかける|to depart; to set out; to start; to be going out|2']
郊	4	S	郊外|こうがい |outskirts|4	[]
凄	4	S	凄い|すごい |terrific|4	[]
房	4	S	暖房|だんぼう |heating|4	['女房|にょうぼう|wife|2', '文房具|ぶんぼうぐ|stationery|2']
恥	4	S	恥ずかしい|はずかしい |embarrassed|4	['恥じらう|はじらう|to feel shy; to be bashful; to blush|1', '恥じる|はじる|to feel ashamed|1']
舟	4	S	舟|ふね |ship|4	[]
泥	4	S	泥棒|どろぼう |thief|4	[]
怖	4	S	怖い|こわい |frightening|4	[]
寂	4	S	寂しい|さびしい |lonely|4	[]
騒	4	S	騒ぐ|さわぐ |to make noise; to be excited|4	['騒ぎ|さわぎ|uproar; disturbance|3', '騒々しい|そうぞうしい|noisy; boisterous|2']
尋	4	S	尋ねる|たずねる |to ask|4	[]
介	4	S	紹介|しょうかい |introduction|4	['介護|かいご|nursing|1', '介入|かいにゅう|intervention|1']
揺	4	S	揺れる|ゆれる |to shake; to sway|4	['揺らぐ|ゆらぐ|to swing; to sway; to shake; to tremble|1', '揺さぶる|ゆさぶる|to shake; to jolt; to rock; to swing|1']
捕	4	S	捕まえる|つかまえる |to seize|4	['逮捕|たいほ|arrest; apprehension; capture|3', '捕る|とる|to take; to catch (fish); to capture|2']
換	4	S	乗り換える|のりかえる |to change between buses or trains|4	['交換|こうかん|exchange; interchange; reciprocity|3', '乗換|のりかえ|(n) transfer (trains; buses; etc.)|2']
驚	4	S	驚く|おどろく |to be surprised|4	['吃驚|びっくり|be surprised; be amazed; be frightened; astonishment|1', '驚異|きょうい|wonder; miracle|1']
滑	4	S	滑る|すべる |to slide; to slip|4	['円滑|えんかつ|harmony; smoothness|1', '滑稽|こっけい|funny; humorous; comical; laughable; ridiculous; joking|1']
翻	4	S	翻訳|ほんやく |translation|4	[]
飾	4	S	飾る|かざる |to decorate|4	['装飾|そうしょく|ornament|1', '着飾る|きかざる|to dress up|1']
震	4	S	地震|じしん |earthquake|4	['震わせる|ふるわせる|to be shaking; to be trembling|1']
乾	4	S	乾く|かわく |to get dry|4	['乾燥|かんそう|dry; arid; insipid; dehydrated|2', '乾かす|かわかす|to dry (clothes; etc.); to desiccate|2']
踏	4	S	踏む|ふむ |to step on|4	['踏まえる|ふまえる|to be based on; to have origin in|1']
祈	4	S	祈る|いのる |to pray|4	[]
怒	4	S	怒る|おこる |to get angry; to be angry|4	['怒り|いかり|anger; hatred|1', '怒る|いかる|to get angry; to be angry|1']
駐	4	S	駐車場|ちゅうしゃじょう |parking lot|4	[]
娘	4	S	娘|むすめ |(humble) daughter|4	[]
腕	4	S	腕|うで |arm|4	[]
柔	4	S	柔らかい|やわらかい |soft|4	['柔軟|じゅうなん|flexible; lithe|1']
為	4	S	為|ため |in order to|4	['為る|する|to do|3', '所為|せい|cause; reason; fault|3']
坊	4	S	寝坊|ねぼう |sleeping in late|4	['坊や|ぼうや|boy|2', '坊さん|ぼうさん|Buddhist priest; monk|2']
隅	4	S	隅|すみ |corner; nook|4	[]
寧	4	S	丁寧|ていねい |polite|4	[]
替	4	S	取り替える|とりかえる |to exchange|4	['替える/換える|かえる|to exchange; to interchange; to substitute; to replace|3', '為替|かわせ|money order; exchange|2']
倒	4	S	倒れる|たおれる |to break down|4	['面倒|めんどう|trouble; difficulty; care; attention|3', '面倒臭い|めんどうくさい|bother to do; tiresome|2']
逃	4	S	逃げる|にげる |to escape|4	['逃走|とうそう|flight; desertion; escape|1', '逃亡|とうぼう|escape|1']
漫	4	S	漫画|まんが |comic|4	[]
痩	4	S	痩せる|やせる |to become thin|4	[]
込	4	S	込む|こむ |to include|4	['人込み|ひとごみ|crowd of people|3', '溶け込む|とけこむ|to melt into|2']
舞	4	S	お見舞い|おみまい |calling on someone who is ill; enquiry|4	['舞台|ぶたい|stage (theatre)|3', '見舞う|みまう|to ask after (health); to visit|2']
懸	4	S	一生懸命|いっしょうけんめい |with utmost effort|4	[]
踊	4	S	踊る|おどる |to dance|4	[]
釣	4	S	釣る|つる |to fish|4	['釣り合う|つりあう|to balance; to be in harmony; to suit|2', '釣り|つり|fishing; angling|1']
致	4	S	致す|いたす |(humble) to do|4	['雅致|がち|artistry; good taste; elegance; grace|1', '合致|がっち|agreement; concurrence; conforming to|1']
慮	4	S	遠慮|えんりょする |to be reserved; to be restrained|4	['考慮|こうりょ|consideration; taking into account|3', '配慮|はいりょ|consideration; concern; forethought|1']
僕	4	S	僕|ぼく |I (used by males)|4	[]
紹	4	S	紹介|しょうかい |introduction|4	[]
