kanji	JLPT	grade	example1	other examples
迚	1	EXTRA	迚も|とても|very; awfully; exceedingly|1	[]
囀	1	EXTRA	囀る|さえずる|to sing; to chirp; to twitter|1	[]
褄	1	EXTRA	辻褄|つじつま|coherence; consistency|1	[]
辟	1	EXTRA	辟易|へきえき|wince; shrink back; succumbing to; being frightened; disconcerted|1	[]
鞠	1	EXTRA	鞠|まり|ball|1	[]
奢	1	EXTRA	華奢|かしゃ|luxury; pomp; delicate; slender; gorgeous|1	[]
哉	1	EXTRA	哉|や|question mark|1	[]
揶	1	EXTRA	揶揄う|からかう|to ridicule; to tease; to banter with; to make fun of|1	[]
繍	1	EXTRA	刺繍|ししゅう|embroidery|1	[]
乃	1	EXTRA	乃至|ないし|from...to; between...and; or|1	[]
恰	1	EXTRA	恰度|ちょうど|just; right; exactly|1	[]
於	1	EXTRA	於いて|おいて|at; in; on|1	[]
漕	1	EXTRA	漕ぐ|こぐ|to row; to scull; to pedal|1	[]
黴	1	EXTRA	黴菌|ばいきん|bacteria; germ(s)|1	[]
歎	1	EXTRA	歎|たん|grief; sigh; lamentation|1	[]
篭	1	EXTRA	篭る|こもる|to seclude oneself; to be confined in; to be implied; to be stuffy|1	[]
悉	1	EXTRA	悉く|ことごとく|altogether; entirely|1	[]
叶	1	EXTRA	叶う|かなう|to come true (wish)|1	[]
忽	1	EXTRA	忽ち|たちまち|at once; in a moment; suddenly; all at once|1	[]
煽	1	EXTRA	煽てる|おだてる|to stir up; to instigate; to flatter|1	[]
鱈	1	EXTRA	出鱈目|でたらめ|irresponsible utterance; nonsense; nonsensical; random; haphazard; unsystematic|1	[]
炙	1	EXTRA	炙る|あぶる|to scorch|1	[]
呆	1	EXTRA	呆然|ぼうぜん|dumbfounded; overcome with surprise; in blank amazement|1	['呆気ない|あっけない|not enough; too quick (short long etc.)|1']
伜	1	EXTRA	伜|せがれ|son; my son|1	[]
躊	1	EXTRA	躊躇う|ためらう|to hesitate|1	[]
襁	1	EXTRA	お襁褓|おむつ|diaper; nappy|1	[]
稍	1	EXTRA	稍|やや|a little; partially; somewhat; a short time; a while|1	[]
飩	1	EXTRA	饂飩|うどん|noodles (Japanese)|1	[]
眩	1	EXTRA	目眩|めまい|dizziness; giddiness|1	[]
涸	1	EXTRA	涸れる|かれる|to dry up; to run out|1	[]
逞	1	EXTRA	逞しい|たくましい|burly; strong; sturdy|1	[]
軋	1	EXTRA	軋む|きしむ|to jar; to creak; to grate|1	[]
掬	1	EXTRA	掬う|すくう|to scoop; to ladle out|1	[]
嗟	1	EXTRA	咄嗟|とっさ|moment; instant|1	[]
嘸	1	EXTRA	嘸|さぞ|I am sure; certainly; no doubt|1	[]
綴	1	EXTRA	綴じる|とじる|to bind; to file|1	[]
臍	1	EXTRA	臍|へそ|navel; belly-button|1	[]
